nsu;chave;tipo_documento;json_path;xml_path;registrado_em
3001;23042851236647413000100000000000483526028194435212;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3001_23042851236647413000100000000000483526028194435212.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\CARTORIO_DO_1_OFICIO_DE_NOTAS_E_REGISTROS_DE_EUSEBIO NFS-e 4835.xml;2026-07-09T14:30:12
3002;21113001203698527000120000000001399226024805619938;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3002_21113001203698527000120000000001399226024805619938.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\PHOCUS_PROPAGANDA_E_MARKETING_LTDA NFS-e 13992.xml;2026-07-09T14:30:19
3003;23044001230235495000107000000000011626020253807250;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3003_23044001230235495000107000000000011626020253807250.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\ETG_ENGENHARIA_LTDA NFS-e 116.xml;2026-07-09T14:30:19
3004;23073041230234323000100000000000143626020521639940;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3004_23073041230234323000100000000000143626020521639940.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\DUPLA_DE_2_-_COMUNICACAO_E_MARKETING_LTDA NFS-e 1436.xml;2026-07-09T14:30:30
3005;23076501233234781000138000000000726826028484449411;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3005_23076501233234781000138000000000726826028484449411.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\CAGI_MIX_LTDA NFS-e 7268.xml;2026-07-09T14:30:36
3006;23076501233234781000138000000000726926023126943660;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3006_23076501233234781000138000000000726926023126943660.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\CAGI_MIX_LTDA NFS-e 7269.xml;2026-07-09T14:30:46
3007;23073041230234323000100000000000143626020521639940;EVENTO;saida_adn_nfse\empresas\empresa_3_cert_5\json\3007_23073041230234323000100000000000143626020521639940.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\3007_23073041230234323000100000000000143626020521639940.xml;2026-07-09T14:30:51
3008;23073041230234323000100000000000143726025218556770;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3008_23073041230234323000100000000000143726025218556770.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\DUPLA_DE_2_-_COMUNICACAO_E_MARKETING_LTDA NFS-e 1437.xml;2026-07-09T14:30:51
3009;23044001253928103000182000000000092426020414872369;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3009_23044001253928103000182000000000092426020414872369.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\RENATA_ALVES_DE_SOUSA_LTDA NFS-e 924.xml;2026-07-09T14:30:52
3010;23044001262540680000193000000000011326020869194501;NFSE;saida_adn_nfse\empresas\empresa_3_cert_5\json\3010_23044001262540680000193000000000011326020869194501.json;saida_adn_nfse\empresas\empresa_3_cert_5\xml\RAS_REAL_LTDA NFS-e 113.xml;2026-07-09T14:31:01
